epoch:1  	   val准确率:32.39130401611328%  	 loss:1.4418177604675293
epoch:2  	   val准确率:43.260868072509766%  	 loss:1.4035725593566895
epoch:3  	   val准确率:45.65217208862305%  	 loss:1.376258373260498
epoch:4  	   val准确率:53.91304016113281%  	 loss:1.1650537252426147
epoch:5  	   val准确率:55.43478012084961%  	 loss:1.2710133790969849
epoch:6  	   val准确率:57.60869216918945%  	 loss:0.8674671053886414
epoch:7  	   val准确率:59.13043212890625%  	 loss:0.9949551224708557
epoch:8  	   val准确率:60.65217208862305%  	 loss:1.0812774896621704
epoch:9  	   val准确率:60.65217208862305%  	 loss:0.9219496250152588
epoch:10  	   val准确率:59.999996185302734%  	 loss:0.6880931854248047
epoch:11  	   val准确率:63.04347610473633%  	 loss:0.925466775894165
epoch:12  	   val准确率:62.60869216918945%  	 loss:0.7458404898643494
epoch:13  	   val准确率:65.65216827392578%  	 loss:0.668837308883667
epoch:14  	   val准确率:64.13043212890625%  	 loss:0.8453928232192993
epoch:15  	   val准确率:65.0%  	 loss:0.6747971177101135
epoch:16  	   val准确率:66.3043441772461%  	 loss:0.42501336336135864
epoch:17  	   val准确率:65.65216827392578%  	 loss:0.7920160889625549
epoch:18  	   val准确率:66.52173614501953%  	 loss:0.5884825587272644
epoch:19  	   val准确率:68.2608642578125%  	 loss:0.5748577117919922
epoch:20  	   val准确率:68.2608642578125%  	 loss:0.601628839969635
epoch:21  	   val准确率:64.34782409667969%  	 loss:0.378994345664978
epoch:22  	   val准确率:68.69564819335938%  	 loss:0.26695361733436584
epoch:23  	   val准确率:68.47825622558594%  	 loss:0.34385228157043457
epoch:24  	   val准确率:65.43477630615234%  	 loss:0.3960879147052765
epoch:25  	   val准确率:58.695648193359375%  	 loss:0.472525030374527
epoch:26  	   val准确率:67.17391204833984%  	 loss:0.38079634308815
epoch:27  	   val准确率:67.82608032226562%  	 loss:0.5476266741752625
epoch:28  	   val准确率:68.47825622558594%  	 loss:0.3156217932701111
epoch:29  	   val准确率:69.13043212890625%  	 loss:0.3136850893497467
epoch:30  	   val准确率:70.43477630615234%  	 loss:0.29064685106277466
epoch:31  	   val准确率:70.0%  	 loss:0.16920167207717896
epoch:32  	   val准确率:65.0%  	 loss:0.30994805693626404
epoch:33  	   val准确率:71.9565200805664%  	 loss:0.14010554552078247
epoch:34  	   val准确率:70.65216827392578%  	 loss:0.4151378870010376
epoch:35  	   val准确率:68.91304016113281%  	 loss:0.2597568929195404
epoch:36  	   val准确率:68.04347229003906%  	 loss:0.2764843702316284
epoch:37  	   val准确率:68.47825622558594%  	 loss:0.2596755027770996
epoch:38  	   val准确率:70.86956024169922%  	 loss:0.23591384291648865
epoch:39  	   val准确率:71.08695220947266%  	 loss:0.1110752746462822
epoch:40  	   val准确率:71.9565200805664%  	 loss:0.16527171432971954
epoch:41  	   val准确率:69.78260803222656%  	 loss:0.3198542594909668
epoch:42  	   val准确率:68.69564819335938%  	 loss:0.145897775888443
epoch:43  	   val准确率:72.39130401611328%  	 loss:0.07170308381319046
epoch:44  	   val准确率:69.34782409667969%  	 loss:0.11956781893968582
epoch:45  	   val准确率:70.43477630615234%  	 loss:0.07197345793247223
epoch:46  	   val准确率:69.56521606445312%  	 loss:0.08532419800758362
epoch:47  	   val准确率:70.65216827392578%  	 loss:0.09930260479450226
epoch:48  	   val准确率:70.43477630615234%  	 loss:0.34776222705841064
epoch:49  	   val准确率:72.82608032226562%  	 loss:0.05089852586388588
epoch:50  	   val准确率:71.9565200805664%  	 loss:0.04289204254746437
epoch:51  	   val准确率:71.3043441772461%  	 loss:0.056733038276433945
epoch:52  	   val准确率:70.0%  	 loss:0.035199686884880066
epoch:53  	   val准确率:68.47825622558594%  	 loss:0.034151121973991394
epoch:54  	   val准确率:69.78260803222656%  	 loss:0.03502532094717026
epoch:55  	   val准确率:69.13043212890625%  	 loss:0.015243581496179104
epoch:56  	   val准确率:67.82608032226562%  	 loss:0.048800647258758545
epoch:57  	   val准确率:71.3043441772461%  	 loss:0.1510993093252182
epoch:58  	   val准确率:72.82608032226562%  	 loss:0.03562045469880104
epoch:59  	   val准确率:69.13043212890625%  	 loss:0.027805238962173462
epoch:60  	   val准确率:72.60869598388672%  	 loss:0.011736944317817688
epoch:61  	   val准确率:70.43477630615234%  	 loss:0.025672173127532005
epoch:62  	   val准确率:72.17391204833984%  	 loss:0.07040665298700333
epoch:63  	   val准确率:70.65216827392578%  	 loss:0.03992753475904465
epoch:64  	   val准确率:70.2173843383789%  	 loss:0.014330264180898666
epoch:65  	   val准确率:71.3043441772461%  	 loss:0.01821775920689106
epoch:66  	   val准确率:70.2173843383789%  	 loss:0.06164461746811867
epoch:67  	   val准确率:71.52173614501953%  	 loss:0.03572070226073265
epoch:68  	   val准确率:71.52173614501953%  	 loss:0.060520824044942856
epoch:69  	   val准确率:70.86956024169922%  	 loss:0.015068065375089645
epoch:70  	   val准确率:70.65216827392578%  	 loss:0.00724123977124691
epoch:71  	   val准确率:67.60869598388672%  	 loss:0.13818664848804474
epoch:72  	   val准确率:69.56521606445312%  	 loss:0.010929771699011326
epoch:73  	   val准确率:69.56521606445312%  	 loss:0.22429130971431732
epoch:74  	   val准确率:70.2173843383789%  	 loss:0.29115602374076843
epoch:75  	   val准确率:67.82608032226562%  	 loss:0.051494792103767395
epoch:76  	   val准确率:71.08695220947266%  	 loss:0.050489842891693115
epoch:77  	   val准确率:73.04347229003906%  	 loss:0.010150071233510971
epoch:78  	   val准确率:69.34782409667969%  	 loss:0.02159333974123001
epoch:79  	   val准确率:71.3043441772461%  	 loss:0.01707760989665985
epoch:80  	   val准确率:69.78260803222656%  	 loss:0.057959433645009995
epoch:81  	   val准确率:68.2608642578125%  	 loss:0.01551106944680214
epoch:82  	   val准确率:70.65216827392578%  	 loss:0.06714785844087601
epoch:83  	   val准确率:70.2173843383789%  	 loss:0.01228867843747139
epoch:84  	   val准确率:69.13043212890625%  	 loss:0.03136848285794258
epoch:85  	   val准确率:71.52173614501953%  	 loss:0.0036727970000356436
epoch:86  	   val准确率:69.56521606445312%  	 loss:0.006008096504956484
epoch:87  	   val准确率:70.0%  	 loss:0.01646849885582924
epoch:88  	   val准确率:69.34782409667969%  	 loss:0.006220109295099974
epoch:89  	   val准确率:68.69564819335938%  	 loss:0.044341716915369034
epoch:90  	   val准确率:71.52173614501953%  	 loss:0.01706761308014393
epoch:91  	   val准确率:69.78260803222656%  	 loss:0.004005962982773781
epoch:92  	   val准确率:70.2173843383789%  	 loss:0.002692966256290674
epoch:93  	   val准确率:71.08695220947266%  	 loss:0.004349187947809696
epoch:94  	   val准确率:72.82608032226562%  	 loss:0.0719624012708664
epoch:95  	   val准确率:68.47825622558594%  	 loss:0.028691457584500313
epoch:96  	   val准确率:71.3043441772461%  	 loss:0.002785783028230071
epoch:97  	   val准确率:69.34782409667969%  	 loss:0.017758427187800407
